,大卫·赫斯特,大卫·菲利普斯,大卫·怀特,李·查普曼,保罗·威尔金森,阿兰·希勒,埃里克·坎通纳,布莱恩·迪恩,莱斯·费迪南德,达利安·阿特金森,马克·罗宾斯,埃迪·麦戈德里克,约翰·威廉姆斯,莫·约翰斯通,马修·勒蒂希埃,沃伦·巴顿,彼得·比尔兹利,格雷厄姆·斯图尔特,马克·沃尔特斯,尼克·亨利,克里斯·基沃姆亚,加文·约翰逊,伯尼·斯拉文,迪恩·霍兹沃斯,埃里克·扬,米克·哈福德,鲁尔·福克斯,马克·休斯,加里·帕克,米奇·金,加里·班尼斯特,贡纳·哈勒,李·鲍维,伊恩·赖特,格雷姆·夏普,扬·莫尔比,罗伯特·瓦日查,巴里·霍恩,加里·斯皮德,马克·布莱特,迈克·米利根,伊恩·克鲁克,尼格尔·克拉夫,加雷斯·索斯盖特,安迪·伊姆佩,保罗·比斯利,大卫·巴德斯利,维尼·琼斯,埃迪·纽顿,丹尼·威尔逊,迪恩·桑德斯,克里斯·阿姆斯特朗,约翰·沃克,汤米·赖特,罗比·厄尔,伊恩·奥尔尼,戈登·杜里,安迪·辛顿,米歇尔·冯克,马克·阿特金斯,特迪·谢林汉姆,约翰·法沙努,威利·法尔科纳,瑞恩·吉格斯,史蒂夫·布鲁斯,伊恩·多维,阿兰·克纳汉,杰森·多泽尔,彼得·恩德洛武,唐·哈奇森,迈克·谢伦,阿德里安·利特约翰,加里·潘里斯,斯图尔特·里普利,罗尼·罗森塔尔,史蒂夫·麦克马纳曼,布莱恩·麦克莱尔,保罗·默森,安迪·汤森,米克·奎因,约翰·亨德里,加里·麦卡利斯特,凯文·加拉切尔,托尼·科蒂,尼埃尔·奎因,布拉德利·艾伦,克里斯·萨顿,尼尔·亚当斯,迈克·纽维尔,尼克·巴姆比,伊恩·拉什,德怀特·约克,罗德·华莱士,约翰·斯宾塞,安迪·科尔 ,罗伊·基恩,凯文·坎贝尔,达伦·安德顿,埃凡·埃科库,伊恩·马歇尔,马克·斯坦,保罗·因斯,克里斯·巴特-威廉斯,特雷沃·莫利,沃森·戈登,罗比·福勒,保罗·里德奥特,安德烈·坎切尔斯基,斯坦·科利莫尔,乌韦·罗斯勒,尤尔根·克林斯曼 ,罗伯特·李,托尼·耶博阿,迪昂·达布林 ,盖伊·惠廷汉姆,布莱恩·罗伊,朱利安·迪克斯,丹尼斯·博格坎普,约翰·哈特森,丹尼斯·怀斯 ,约翰·巴恩斯,邓肯·弗格森,萨沃·米洛舍维奇,诺埃尔·惠兰,保罗·斯科尔斯,迈克尔·欧文,奥莱·索尔斯克亚,哈塞尔巴因克,蒂姆·舍伍德,马库斯·盖尔,朱利安·约希姆,埃米尔·赫斯基 ,大卫·贝克汉姆 ,保罗·万乔普,保罗·迪卡尼奥 ,吉安弗兰科·佐拉,凯文·菲利普斯,蒂埃里·亨利,古斯塔沃·波耶特,特雷沃·辛克莱尔,詹姆斯·比蒂,马克·维杜卡,鲁德·范尼斯特鲁伊,哈里·科威尔,杰森·尤尔,尼古拉·阿内尔卡,罗比·基恩,罗伯特·皮雷斯,弗兰克·兰帕德,埃聚尔·古德约翰森,杰梅因·迪福 ,克雷格·贝拉米,韦恩·鲁尼,雅库布,路易斯·萨哈,克里斯蒂亚诺·罗纳尔多,史蒂文·杰拉德,凯文·戴维斯,迪迪埃·德罗巴,达伦·本特,埃曼纽尔·阿德巴约,彼得·克劳奇,费尔南多·托雷斯,迪米塔尔·贝尔巴托夫,卡洛斯·特维斯,罗宾·范佩西,加布里埃尔·阿邦拉霍,凯文·诺兰,路易斯·苏亚雷斯,塞尔吉奥·阿圭罗,丹尼尔·斯图里奇,罗梅卢·卢卡库,哈里·凯恩,奧利弗·吉鲁,埃登·阿扎尔,杰米·瓦尔迪,萨迪奥·马内,拉希姆·斯特林,穆罕默德·萨拉赫,克里斯蒂安·本特克
May-93,11,9,16,15,13,16,15,15,20,11,14,8,8,0,15,0,10,9,11,0,10,0,0,19,0,9,0,15,9,0,8,0,0,15,7,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,14,15,0,0,7,12,0,0,0,0,22,0,0,9,0,11,0,0,7,0,11,8,0,0,0,0,9,0,0,17,9,0,11,12,9,10,8,9,13,0,14,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-93,11,9,16,15,13,17,16,16,23,14,14,8,9,0,17,0,10,9,11,0,11,0,0,20,0,10,0,16,9,0,8,0,0,19,0,0,0,0,8,13,0,0,14,0,0,0,0,0,0,0,15,15,0,0,0,13,0,0,0,0,25,9,0,11,0,13,0,0,9,0,12,8,8,8,0,0,9,0,0,20,9,0,12,15,9,10,11,9,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-93,12,9,16,16,13,18,19,17,24,14,14,0,9,0,17,0,10,9,11,0,11,0,0,20,0,10,0,18,9,0,0,0,0,20,0,0,0,0,9,14,0,0,14,0,0,0,0,0,0,0,17,15,0,0,8,13,0,10,0,0,30,9,0,11,0,13,0,9,9,0,14,10,0,0,0,0,9,0,0,20,9,0,13,17,11,10,13,9,16,0,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct-93,12,9,17,16,13,24,20,17,26,16,14,0,9,0,21,0,13,9,11,0,11,0,0,20,0,10,0,21,0,0,0,0,0,20,0,0,0,0,12,16,0,0,14,0,0,0,0,0,0,0,17,15,0,0,0,13,0,10,0,0,31,9,0,12,0,13,0,10,10,0,15,10,0,9,0,0,0,0,0,20,9,0,13,18,11,14,14,9,16,0,18,0,10,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov-93,12,9,17,18,13,28,23,20,27,17,14,0,9,0,23,0,17,9,11,0,11,0,0,22,0,10,9,22,0,0,0,0,0,23,0,0,0,0,13,17,0,0,15,0,0,0,0,0,0,0,17,15,0,0,0,13,0,10,0,0,31,11,0,12,0,13,0,10,11,0,16,10,0,9,0,0,0,0,0,22,9,0,13,19,14,17,15,0,16,0,18,0,14,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec-93,12,0,17,21,13,34,27,21,29,17,14,0,10,0,24,0,20,0,11,0,13,0,0,26,0,10,10,23,10,0,0,0,0,27,10,0,0,0,14,21,0,0,15,0,0,0,0,0,0,0,19,15,0,0,0,13,0,0,0,0,31,12,0,15,0,15,0,13,12,0,17,0,10,0,0,0,10,0,0,23,0,10,15,20,14,17,20,0,16,0,19,0,17,0,19,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-94,12,0,17,21,13,39,27,21,30,19,14,0,10,0,26,0,22,0,11,0,13,0,0,26,0,0,11,24,10,0,0,0,0,29,11,0,0,0,15,24,0,0,17,0,0,0,0,0,0,0,20,15,0,0,0,13,0,0,0,0,31,13,0,17,0,15,0,13,12,0,17,0,11,0,0,0,10,0,0,23,0,10,15,24,14,17,23,0,16,0,22,0,17,0,23,0,15,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-94,12,0,17,22,13,41,28,21,31,19,14,0,11,0,31,0,24,0,11,0,13,0,0,27,0,0,11,25,0,0,0,0,0,29,12,0,0,0,15,26,0,0,17,0,0,0,0,0,0,0,23,15,0,0,0,13,0,0,0,0,31,14,0,18,0,15,0,14,13,0,17,0,11,0,0,0,0,0,0,24,0,12,18,25,14,17,29,0,16,0,24,0,17,0,26,0,16,11,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-94,12,0,17,22,13,43,30,23,32,19,14,0,0,0,32,0,27,0,0,0,14,0,0,29,0,0,12,26,11,0,0,0,0,35,14,0,0,0,16,26,0,0,17,0,0,0,0,0,0,0,23,15,0,0,13,13,0,0,0,0,31,15,0,19,0,15,0,15,13,0,17,0,13,0,0,0,0,12,0,25,0,12,18,25,14,17,30,0,17,0,26,0,19,0,30,0,17,0,15,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-94,0,0,20,22,13,47,32,24,36,19,15,0,0,0,38,0,30,0,0,0,14,0,0,35,0,0,13,26,0,0,0,0,0,38,16,0,0,0,17,31,0,0,17,0,0,0,0,0,0,0,24,15,0,0,16,13,0,0,0,0,34,17,0,21,0,16,0,15,17,0,17,0,14,0,0,0,0,13,0,25,0,13,18,28,14,17,33,0,19,0,28,0,22,0,33,0,18,0,15,12,0,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-94,0,0,22,22,0,47,33,26,36,19,15,0,0,0,40,0,31,0,0,0,15,0,0,36,0,0,13,27,0,0,0,0,0,38,16,0,0,0,17,31,0,0,17,0,0,0,0,0,0,0,24,15,0,0,16,13,0,0,0,0,35,17,0,22,0,16,0,15,18,0,17,0,14,0,0,0,0,13,0,25,0,13,18,28,14,17,33,0,19,0,28,0,24,0,34,0,18,0,15,0,13,14,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-94,0,0,23,22,0,49,34,26,38,19,16,0,0,0,41,0,32,13,0,0,16,0,0,37,0,0,13,28,0,0,0,0,0,39,16,0,0,0,17,31,0,0,17,0,0,0,0,0,0,0,26,16,0,0,16,13,0,0,0,0,36,18,0,23,0,16,0,15,18,0,17,0,14,0,0,0,0,0,0,25,0,0,18,28,14,17,37,0,19,0,30,0,24,14,38,0,19,0,15,0,0,14,14,13,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-94,0,0,23,22,0,53,36,27,40,19,16,0,0,0,44,0,33,0,0,0,16,0,0,37,0,0,15,28,0,0,0,0,0,41,16,0,0,0,18,32,0,0,17,0,0,0,0,0,0,0,27,16,0,0,16,0,0,0,0,0,36,18,0,23,0,18,0,15,18,0,17,0,16,0,0,0,13,0,0,25,0,14,18,29,15,17,39,0,19,0,31,0,24,15,40,0,19,0,15,0,0,14,14,0,15,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct-94,15,0,23,22,0,54,38,28,42,19,18,0,0,0,46,0,34,0,0,0,16,0,0,37,0,0,15,29,0,0,0,0,0,47,16,0,0,0,18,34,0,0,17,0,0,0,0,0,0,0,28,16,0,0,16,0,0,0,0,0,39,18,0,23,0,21,0,15,18,0,18,0,17,0,0,0,0,0,0,25,0,15,18,29,18,18,44,0,19,14,32,0,27,17,42,0,21,0,16,0,0,14,14,0,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov-94,15,0,24,22,0,60,40,29,44,22,19,0,0,0,47,0,36,0,0,0,16,0,0,37,0,0,15,30,0,0,0,0,0,48,16,0,0,0,19,34,0,0,17,0,0,0,0,0,0,0,31,17,0,0,16,0,0,0,0,0,40,18,0,23,0,21,0,15,19,0,18,0,17,0,0,0,0,0,0,25,0,15,18,29,19,18,46,0,19,0,32,0,27,20,43,0,21,0,18,0,0,15,0,0,15,27,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec-94,0,0,24,22,0,64,43,31,48,22,19,0,0,0,51,0,36,0,0,0,16,0,0,40,0,0,18,31,0,0,0,0,0,49,16,0,0,0,19,37,0,0,17,0,0,0,0,0,0,0,32,17,0,0,16,0,0,0,0,0,45,18,0,23,0,21,0,0,20,0,18,0,17,0,0,0,0,0,0,25,0,15,18,34,20,19,46,0,19,17,34,0,27,21,43,0,22,0,19,0,0,15,15,0,15,30,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-95,15,0,25,22,0,70,45,32,48,22,20,0,0,0,52,0,36,0,0,0,18,0,0,40,0,16,19,32,0,0,0,0,0,50,16,0,0,0,19,38,0,0,17,0,0,0,0,0,0,0,34,17,0,0,16,0,0,0,0,0,46,20,0,23,0,21,0,0,20,0,18,0,17,0,0,0,0,0,0,25,0,15,18,35,20,19,46,0,19,17,35,0,27,22,43,0,22,0,21,0,0,0,0,0,15,32,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
